name,description,link
東光寺散策東コース～日野の農園を巡る Part1 ～,日野市,data/132128_Tokoji_Temple_East_Course_Visit_the_farms_in_Hino_PART_1.kml
東光寺散策西コース～日野の農園を巡る Part2 ～,日野市,data/132128_Tokoji_Temple_West_Course_Visit_the_farms_in_Hino_PART_2.kml
水と緑の公園コース～水都日野の清流と緑を巡る～,日野市,data/132128_Parks_with_greenery_and_river_Course_Visit_the_clear_streams_and_greenery_of_the_water_capital_Hino.kml
浅川を歩こう!コース～市の鳥カワセミとの出会いを求めて～ 上級コース,日野市,data/132128_Lets_walk_the_Asakawa_River_Course_In_search_of_the_official_city_bird_the_kingfisher_Advanced.kml
浅川を歩こう!コース～市の鳥カワセミとの出会いを求めて～ 中級コース,日野市,data/132128_Lets_walk_the_Asakawa_River_Course_In_search_of_the_official_city_bird_the_kingfisher_Intermediat.kml
浅川を歩こう!コース～市の鳥カワセミとの出会いを求めて～ 初級コース,日野市,data/132128_Lets_walk_the_Asakawa_River_Course_In_search_of_the_official_city_bird_the_kingfisher_Beginner.kml
百草周遊・倉沢緑地コース～百草倉沢の自然・文化を巡る～,日野市,data/132128_Mogusa_tourKurasawa_Ryokuchi_Course_Enjoy_the_nature_and_culture_of_Mogusa-Kurasawa.kml
緑と黄葉のいちょうコース～いちょう並木満喫コース～,日野市,data/132128_Green_and_yellow_ginkgo_Course_Enjoy_the_rows_of_ginkgo_trees.kml
No.1 北の街 市境散歩,国立市,data/132152_No1_Northern_Kunitachi_A_walk_along_the_city_boundary.kml
No.2 一橋大学と大学通りの魅力再発見,国立市,data/132152_No2_Rediscover_the_attraction_of_Hitotsubashi_University_and_Daigaku-dori_Ave..kml
No.3 谷保一番地コース～はけの道と水路に沿って～,国立市,data/132152_No3_Yaho_Ichibanchi_Course_Walk_along_Hake-no-michi(road_along_the_cliff_line)_and_water_channels.kml
No.4 矢川の清流とママ下湧水が出会う道,国立市,data/132152_No4_A_course_touring_the_clear_stream_of_the_Yagawa_River_and_Mama-shita_spring_water_and_where_they_converge.kml
No.5 谷保地区の歴史を訪ねて,国立市,data/132152_No5_Yaho_area_Visiting_its_history.kml
No.6 東の市境散歩,国立市,data/132152_No6_A_walk_along_the_city_boundary_in_the_east.kml
No.7 江戸街道からさくら通りへ,国立市,data/132152_No7_From_Edo-kaido_Road_to_Sakura-dori_Street_A_tour_to_enjoy_parks_and_appreciate_a_variety_of_flowers.kml
No.8 谷保田圃の原風景を探して,国立市,data/132152_No8_Looking_for_unspoiled_landscape_of_rice_fields_in_Yaho.kml
No.9 多摩川の風に吹かれて,国立市,data/132152_No9_In_the_wind_blowing_across_the_Tamagawa_River.kml
R16アメリカンな街並,福生市,data/132187_R16_Americana_Town.kml
文化と森のウォーク,福生市,data/132187_Cultural_and_forest_walk.kml
歴史を感じるまちあるき,福生市,data/132187_Town_stroll_with_a_historical_feel.kml
水辺散策コース,福生市,data/132187_Waterside_course.kml
熊川分水巡りコース,福生市,data/132187_Kumagawa_River_diversion_course.kml
ひと駅歩いてもうひと頑張りコース,東大和市,data/132209_Course_to_make_one_another_effort_to_the_next_station.kml
ひと駅歩こうコース,東大和市,data/132209_Course_to_walk_between_two_stations.kml
ウォーキングついでに健康遊具で若返りコース,東大和市,data/132209_Course_to_regain_your_youth_with_health_equipment_while_walking.kml
多摩湖パノラマコース～野球観戦のおりにはどうぞ～,東大和市,data/132209_Tama_Lake_Panorama_Course_Swing_by_when_you_go_out_to_watch_baseball_games.kml
東大和四季を感じる名所巡り～戦災遺跡・野火止用水～,東大和市,data/132209_our_of_the_hotspots_to_get_a_feel_for_the_four_seasons_of_Higashiyamato_War_remains_and_Nobidome_Yosui_irr.kml
東大和横断、歴史探索コース,東大和市,data/132209_Across_Higashiyamato_historical_discoveries_course.kml
神社巡り、緑の小道コース,東大和市,data/132209_Shrine_tour_and_green_paths_course.kml
空堀川、なにに出会えるか、わくわくコース,東大和市,data/132209_Adventure_course_What_will_you_encounter_at_Karabori-gawa_River.kml
自然満喫チャレンジコース,東大和市,data/132209_Fully_enjoying_nature_course_(for_those_who_like_a_challenge).kml
茶畑ぬけて、ちょこっとお参りコース,東大和市,data/132209_Mini_pilgrimage_through_tea_fields_course.kml
野火止用水でリフレッシュコース,東大和市,data/132209_Nobidome_Yosui_irrigation_canal_refresh_course.kml
いきいきコース - Aコース,武蔵村山市,data/132233_Iki-Iki_(Lively)_Course_A_Course.kml
いきいきコース - Bコース,武蔵村山市,data/132233_Iki-Iki_(Lively)_Course_B_Course.kml
わくわくコース - Aコース,武蔵村山市,data/132233_Waku-Waku_(Exciting)_Course_A_Course.kml
わくわくコース - Bコース,武蔵村山市,data/132233_Waku-Waku_(Exciting)_Course_B_Course.kml
デエダラ(大多羅法師の井戸)トンネルコース - Aコース,武蔵村山市,data/132233_Daidara_(Well_of_Daidara_Botchi)_Tunnel_Course_A_Course.kml
デエダラ(大多羅法師の井戸)トンネルコース - Bコース,武蔵村山市,data/132233_Daidara_(Well_of_Daidara_Botchi)_Tunnel_Course_B_Course.kml
せせらぎとモミジバフウコース,多摩市,data/132241_Stream_and_Maple_(Sweetgum)_Course.kml
バードウォッチングコース,多摩市,data/132241_Bird_Watching_Course.kml
乞田川の桜とカルガモコース,多摩市,data/132241_Kottagawa_Cherry_Blossoms_and_Spot-billed_Duck_Course.kml
多摩の名所満載コース,多摩市,data/132241_Fully-loaded_Tama_Sightseeing_Course.kml
大栗川と里山を巡るコース,多摩市,data/132241_Oguri-gawa_River_and_Foothills_Touring_Course.kml
子どもと巡る公園コース,多摩市,data/132241_Park_Course_for_Families.kml
小野神社と川風のコース,多摩市,data/132241_Ono-jinja_Shrine_and_River_Breeze_Course.kml
山登りの気分を味わうコース,多摩市,data/132241_Mountain_Climbing_Experience_Course.kml
桜と関戸の歴史散歩コース,多摩市,data/132241_Cherry_Blossoms_and_Sekido_History_Walking_Course.kml
水鳥の池を目指すコース,多摩市,data/132241_Course_in_Search_of_a_Waterfowl_Pond.kml
防人見返りの峠と富士山眺望コース,多摩市,data/132241_Sakimori_Mikaeri_Path_and_MtFuji_Lookout_Course.kml
電車見橋と遊歩道コース,多摩市,data/132241_Denshami-bashi_Bridge_and_Promenade_Course.kml
五日市エリア（初級）わんぱくコース,あきる野市,data/132284_Itsukaichi_Area_(Beginner)_Walk_and_play_course.kml
五日市エリア（中級）自然満喫コース,あきる野市,data/132284_Itsukaichi_Area_(Intermediate)_Abundant_nature_course.kml
五日市エリア（上級）筋力UPコース,あきる野市,data/132284_Itsukaichi_Area(Advanced)_Muscle_strength_building_up_course.kml
増戸エリア（初級）増戸パノラマコース,あきる野市,data/132284_Masuko_Area_(Beginner)_Masuko_panoramic_view_course.kml
増戸エリア（中級）四季自然を感じるコース,あきる野市,data/132284_Masuko_Area_(Intermediate)_A_course_offering_views_of_seasonal_changes_in_nature.kml
